"","S","R","stock","region","t"
"901",144780,144780,27,10,21
"902",183450,201690,27,10,22
"903",24240,26300,28,9,10
"904",54090,66340,28,9,11
"905",95320,118110,28,9,12
"906",50920,64420,28,9,13
"907",31490,33330,28,9,17
"908",61720,63730,28,9,21
"909",21590,30120,28,9,22
"910",20210,28600,29,9,16
"911",11260,13380,29,9,17
"912",1430,2680,29,9,18
"913",29770,30810,29,9,19
"914",25130,25320,29,9,20
"915",14180,15050,29,9,21
"916",1480,1970,29,9,22
"917",1e+05,197700,30,11,5
"918",150000,630690,30,11,6
"919",15250,33720,30,11,7
"920",20380,75460,30,11,8
"921",22820,45230,30,11,9
"922",64060,111510,30,11,10
"923",42350,163700,30,11,11
"924",37900,113340,30,11,12
"925",19470,56820,30,11,13
"926",48770,264550,30,11,14
"927",26810,109120,30,11,15
"928",66970,107980,30,11,16
"929",24910,48010,30,11,17
"930",32690,89420,30,11,18
"931",126010,300710,30,11,19
"932",21300,122620,30,11,20
"933",51680,98320,30,11,21
"934",207110,291340,30,11,22
"935",160600,1124180,34,10,9
"936",352800,2327410,34,10,10
"937",309040,636490,34,10,11
"938",412560,1124890,34,10,12
"939",390930,2063970,34,10,13
"940",642220,5142250,34,10,14
"941",599340,5396920,34,10,15
"942",481950,2912010,34,10,16
"943",750530,7465670,34,10,17
"944",514570,7479120,34,10,18
"945",359370,3510470,34,10,19
"946",474380,3091600,34,10,20
"947",315210,315210,34,10,21
"948",396700,4632330,34,10,22
"949",26910,723090,35,10,9
"950",179480,456090,35,10,10
"951",177780,835210,35,10,11
"952",194670,1070130,35,10,12
"953",277780,1102150,35,10,13
"954",728630,4889560,35,10,14
"955",359870,3581140,35,10,15
"956",601680,2083690,35,10,16
"957",645510,3379070,35,10,17
"958",330630,1286620,35,10,18
"959",315000,388180,35,10,19
"960",533170,533170,35,10,20
"961",315090,315090,35,10,21
"962",336310,347730,35,10,22
"963",82000,726800,32,6,7
"964",155300,160500,32,6,8
"965",218600,1480800,32,6,9
"966",45000,257100,32,6,10
"967",31500,31500,32,6,11
"968",45300,45300,32,6,12
"969",115400,160000,32,6,13
"970",181300,452700,32,6,14
"971",116000,340300,32,6,15
"972",64500,178400,32,6,16
"973",235200,277700,32,6,17
"974",65700,101000,32,6,18
"975",267400,267400,32,6,19
"976",343500,815400,32,6,20
"977",448400,1097500,32,6,21
"978",582100,1263100,32,6,22
"979",10000,35300,33,11,5
"980",10220,114780,33,11,6
"981",25130,35630,33,11,7
"982",22040,40220,33,11,8
"983",16000,22860,33,11,9
"984",40000,63040,33,11,10
"985",12190,31490,33,11,11
"986",11800,35380,33,11,12
"987",29430,55190,33,11,13
"988",29480,102380,33,13,14
"989",12120,34020,33,13,15
"990",11600,25340,33,13,16
"991",34100,53770,33,13,17
"992",34400,45780,33,13,18
"993",49850,108410,33,13,19
"994",14000,23350,33,13,20
"995",10070,12840,33,13,21
"996",17600,25390,33,13,22
"997",2834510,15462650,36,12,6
"998",1545910,6102590,36,12,7
"999",1354360,3676610,36,12,8
"1000",2015210,5500470,36,12,9
"1001",3153000,6081450,36,12,10
"1002",2915590,4540260,36,12,11
"1003",1414850,1466060,36,12,12
"1004",4738550,5068890,36,12,13
"1005",6865700,8961770,36,12,14
"1006",4524740,7175020,36,12,15
"1007",6148260,9656930,36,12,16
"1008",14441310,30058030,36,12,17
"1009",7467760,12654000,36,12,18
"1010",7972450,20703590,36,12,19
"1011",9550210,27581790,36,12,20
"1012",7579140,24634610,36,12,21
"1013",6905150,11759610,36,12,22
"1014",2771330,4064060,37,12,6
"1015",1369290,1977660,37,12,7
"1016",494250,609180,37,12,8
"1017",1354630,1477440,37,12,9
"1018",966120,1054570,37,12,10
"1019",916010,1166330,37,12,11
"1020",1279890,1843680,37,12,12
"1021",4336140,6511800,37,12,13
"1022",4464660,6181590,37,12,14
"1023",3328500,6012220,37,12,15
"1024",3022630,5557960,37,12,16
"1025",4385620,9968900,37,12,17
"1026",1367690,1781450,37,12,18
"1027",1553000,2421860,37,12,19
"1028",1993430,2361850,37,12,20
"1029",2123950,3168480,37,12,21
"1030",3497700,5243230,37,12,22
"1031",4651880,9797110,38,12,6
"1032",3902160,9612620,38,12,7
"1033",1030020,1671560,38,12,8
"1034",3010390,4208080,38,12,9
"1035",5179440,11427030,38,12,10
"1036",4118890,8673890,38,12,11
"1037",6073250,9403250,38,12,12
"1038",14135180,25377180,38,12,13
"1039",10398940,17390940,38,12,14
"1040",11821360,25289360,38,12,15
"1041",14605860,46026860,38,12,16
"1042",26255480,56955480,38,12,17
"1043",12806260,17406260,38,12,18
"1044",20050440,65850440,38,12,19
"1045",15305830,58805830,38,12,20
"1046",19847860,58847860,38,12,21
"1047",25324780,66624780,38,12,22
"1048",240000,267540,39,14,8
"1049",34500,37850,39,14,9
"1050",27180,30180,39,14,10
"1051",240000,254220,39,14,11
"1052",133800,142240,39,14,12
"1053",177710,208090,39,14,13
"1054",450000,482700,39,14,14
"1055",3e+05,332870,39,14,15
"1056",183580,194910,39,14,16
"1057",366000,378240,39,14,17
"1058",72000,84480,39,14,18
"1059",288250,338340,39,14,19
"1060",4e+05,666290,40,11,5
"1061",1190000,4946240,40,11,6
"1062",150000,286530,40,11,7
"1063",1e+05,253090,40,11,8
"1064",1e+05,152490,40,11,9
"1065",300560,494190,40,11,10
"1066",251180,493080,40,11,11
"1067",103140,200350,40,11,12
"1068",504920,902120,40,11,13
"1069",300380,983260,40,11,14
"1070",100270,362550,40,11,15
"1071",470130,541280,40,11,16
"1072",710030,1287760,40,11,17
"1073",593540,1059250,40,11,18
"1074",401300,1281520,40,11,19
"1075",351000,618180,40,11,20
"1076",530000,701790,40,11,21
"1077",857000,1557370,40,11,22
"1078",50170,89430,41,11,5
"1079",275040,970710,41,11,6
"1080",185020,326300,41,11,7
"1081",95010,221360,41,11,8
"1082",70010,107030,41,11,9
"1083",125000,189830,41,11,10
"1084",110000,200610,41,11,11
"1085",65750,122600,41,11,12
"1086",125990,229820,41,11,13
"1087",180720,352090,41,11,14
"1088",90100,185210,41,11,15
"1089",198280,258270,41,11,16
"1090",302190,552550,41,11,17
"1091",152420,224340,41,11,18
"1092",80150,297560,41,11,19
"1093",174000,247110,41,11,20
"1094",1e+05,105480,41,11,21
"1095",101600,115260,41,11,22
"1096",125000,222830,42,11,5
"1097",640000,2258770,42,11,6
"1098",185000,326270,42,11,7
"1099",105000,244630,42,11,8
"1100",75000,114660,42,11,9
"1101",2e+05,303730,42,11,10
"1102",35000,63830,42,11,11
"1103",30000,55990,42,11,12
"1104",38000,69320,42,11,13
"1105",135000,263070,42,11,14
"1106",18000,42490,42,11,15
"1107",126100,164250,42,11,16
"1108",2e+05,375190,42,11,17
"1109",119000,175170,42,11,18
"1110",70400,312050,42,11,19
"1111",86000,123800,42,11,20
"1112",110000,116030,42,11,21
"1113",208000,240930,42,11,22
"1114",26540,46110,43,9,11
"1115",17890,34780,43,9,12
"1116",4570,34440,43,9,13
"1117",9500,66110,43,9,14
"1118",580,129560,43,9,15
"1119",4980,44990,43,9,16
"1120",13570,55630,43,9,21
"1121",18300,72560,43,9,22
